Nombre,Dni,Fecha Nacimiento,Direccion,Numero Telefono
miguel,53776407S,10/09/1997,mi casa,633198895
luis,53776407A,10/09/1997,nuestra casa,619101024
manuel,53776407S,10/09/1997,mi casa,633198895
zoe,53776407A,10/09/1997,nuestra casa,619101024
alberto,53776407S,10/09/1997,mi casa,633198895
susana,53776407A,10/09/1997,nuestra casa,619101024
pepe,53776407S,10/09/1997,mi casa,633198895
alvaro,53776407A,10/09/1997,nuestra casa,619101024
lucas,53776407S,10/09/1997,mi casa,633198895
jesus,53776407A,10/09/1997,nuestra casa,619101024
